Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,mileage_num,engine_num,power_num,Brand,Model
Ahmedabad,2015,73000,Diesel,Manual,First,7,18.865,12.5,16,2179,140,mahindra,xuv500
Hyderabad,2014,59962,Diesel,Manual,First,5,16.65,6.9,20.45,1461,83.8,nissan,terrano
Jaipur,2012,72000,Diesel,Manual,Second,5,14.255,5.8,22.32,1582,126.32,hyundai,verna
Coimbatore,2016,20967,Diesel,Automatic,First,5,67.87,44.56,14.69,2993,258,bmw,5
Bangalore,2015,35000,Diesel,Manual,Second,7,18.865,8.5,15.4,2179,120,mahindra,scorpio
Coimbatore,2017,38056,Diesel,Manual,First,5,14.255,10.7,23.9,1582,126.2,hyundai,verna
Pune,2009,94000,Diesel,Automatic,Second,7,101.96,12,12.07,2967,241.4,audi,q7
Coimbatore,2010,64236,Petrol,Manual,First,5,11.3,2.44,14.7,1150,76,chevrolet,aveo
Kolkata,2000,124000,Diesel,Manual,First,7,11.01,1.95,13.6,2523,63,mahindra,bolero
Mumbai,2014,7400,Petrol,Manual,First,5,8.23,4.35,19.1,1197,82,hyundai,xcent
Hyderabad,2017,52000,Diesel,Manual,First,8,19.43,17.5,13.68,2393,147.8,toyota,innova
Hyderabad,2015,68764,Petrol,Manual,First,5,10.25,2.9,21.1,814,55.2,hyundai,eon
Delhi,2013,64000,Diesel,Manual,First,5,10.15,2.9,22.07,1199,73.9,volkswagen,polo
Pune,2016,21558,Diesel,Manual,First,5,10.65,8.9,24.3,1248,88.5,maruti,vitara
Mumbai,2013,37500,Diesel,Automatic,First,5,54.43,16.75,18.88,1995,184,bmw,3
Coimbatore,2016,14077,Petrol,Manual,First,5,10.25,3.95,21.1,814,55.2,hyundai,eon
Mumbai,2009,70000,Petrol,Manual,First,5,13.58,2.1,17,1497,118,honda,city
Kochi,2011,54316,Petrol,Manual,Second,5,13.58,4.29,12.8,2354,177.6,honda,accord
Hyderabad,2009,90764,Diesel,Manual,First,8,11.67,3.85,14,2498,112,mahindra,xylo
Chennai,2009,137000,Diesel,Automatic,Second,5,54.43,9,13.2,1995,170,bmw,3
Pune,2013,127000,Petrol,Manual,Second,5,13.58,4.5,16.8,1497,116.3,honda,city
Kochi,2016,51884,Diesel,Manual,First,7,18.865,12.46,16,2179,140,mahindra,xuv500
Delhi,2014,67407,Diesel,Manual,First,5,10.25,4.65,21.27,1396,88.76,hyundai,i20
Hyderabad,2014,107825,Diesel,Manual,First,7,37.17,20.5,13,2982,168.5,toyota,fortuner
Chennai,2006,82453,Diesel,Manual,First,8,11.01,2.9,13.6,2523,63,mahindra,bolero
Chennai,2007,30441,Petrol,Manual,First,5,7.88,1.45,15.9,1298,85,maruti,esteem
Chennai,2002,70000,Petrol,Manual,Third,5,4.55,0.65,,1086,,hyundai,santro
Mumbai,2016,11000,Diesel,Automatic,First,5,42.12,29.5,20.7,1496,113.98,mini,cooper
Hyderabad,2015,61000,Diesel,Automatic,First,5,44.8,25,15.73,1968,174.33,audi,q3
Delhi,2013,48454,Petrol,Manual,Second,5,10.25,3.5,17,1197,80,hyundai,i20
Jaipur,2017,37000,Diesel,Manual,First,7,16.95,11.25,14.1,2179,154,tata,safari
Kochi,2017,32249,Diesel,Manual,First,7,15.45,10.79,21.9,1498,98.6,honda,br-v
Kolkata,2013,58000,Diesel,Manual,First,5,10.15,5.9,19.33,1968,138.03,volkswagen,jetta
Jaipur,2017,28360,Petrol,Manual,First,5,8.23,5.12,19.1,1197,81.86,hyundai,xcent
Mumbai,2017,7000,Petrol,Manual,First,5,7.87,5.7,20.89,1197,81.8,maruti,ignis
Coimbatore,2016,19658,Diesel,Automatic,First,5,67.87,35.84,18.12,1995,190,bmw,5
Hyderabad,2007,92000,Petrol,Manual,First,5,11.685,1.25,13.8,1299,70,ford,ikon
Kolkata,2013,25000,Petrol,Manual,First,5,10.25,2.65,20.36,1197,78.9,hyundai,i10
Coimbatore,2016,37882,Diesel,Manual,First,5,14.255,9.19,22.32,1582,126.3,hyundai,verna
Bangalore,2014,69330,Diesel,Automatic,First,5,54.43,23.5,16.07,1995,181,bmw,3
Delhi,2011,61000,Petrol,Automatic,First,5,86.97,12.5,12.3,1796,185,mercedes-benz,e-class
Kolkata,2010,35000,Petrol,Manual,Second,5,11.3,1.5,18.6,1199,79.4,chevrolet,beat
Jaipur,2004,200000,Petrol,Manual,First,5,4.55,0.8,,1086,,hyundai,santro
Jaipur,2009,82000,Diesel,Manual,Second,5,7.63,0.75,13.5,1405,,tata,indica
Delhi,2012,72450,Diesel,Manual,First,7,18.865,8.1,15.1,2179,140,mahindra,xuv500
Jaipur,2017,36381,Diesel,Manual,First,5,11.11,9.75,28.09,1248,88.5,maruti,ciaz
Coimbatore,2017,25559,Diesel,Automatic,First,5,49.49,37.93,19.71,2143,201.15,mercedes-benz,new
Chennai,2005,100000,Petrol,Automatic,Third,5,13.58,1.96,16.4,1497,78,honda,city
Jaipur,2015,94000,Diesel,Automatic,First,7,37.17,20.5,11.5,2982,169,toyota,fortuner
Bangalore,2011,64357,Petrol,Manual,First,5,4.7,2.75,24.07,998,67.1,maruti,alto
Mumbai,2017,10501,Petrol,Automatic,First,5,69.675,75,9.43,1999,237.4,jaguar,xj
Chennai,2009,47000,Diesel,Manual,First,5,10.25,2.8,21.9,1396,90,hyundai,i20
Mumbai,2017,18000,Petrol,Automatic,First,7,15.02,9.25,16,1497,117.3,honda,brv
Chennai,2007,89000,Petrol,Manual,First,5,21.085,3,13.4,1794,125,toyota,corolla
Coimbatore,2014,49964,Diesel,Automatic,First,5,67.1,23.89,17.68,1968,174.33,audi,a6
Mumbai,2014,35000,Diesel,Manual,First,7,24.01,12.75,12.99,2494,100.6,toyota,innova
Jaipur,2014,64000,Diesel,Manual,First,5,7.45,4.15,24,1120,70,hyundai,grand
Mumbai,2013,36000,Petrol,Automatic,First,5,13.23,4.65,14.8,1598,105,volkswagen,vento
Delhi,2012,78600,Diesel,Manual,First,7,24.01,8.9,12.8,2494,102,toyota,innova
Jaipur,2008,170000,Diesel,Manual,Second,5,14.255,1.5,16.8,1493,110,hyundai,verna
Pune,2015,65000,Diesel,Manual,Second,5,7.88,3.27,23.2,1248,73.94,maruti,ritz
Pune,2008,120300,Diesel,Automatic,Second,7,101.96,18,12.07,2967,241.4,audi,q7
Pune,2016,21000,Petrol,Manual,First,5,10.25,6.3,18.6,1197,81.83,hyundai,i20
Coimbatore,2017,18108,Diesel,Manual,First,5,12.56,11.31,24.3,1248,88.5,maruti,vitara
Pune,2014,58407,Petrol,Manual,First,5,13.58,6.16,17.4,1497,117.3,honda,city
Pune,2014,49500,Petrol,Manual,First,5,11.11,6,20.73,1373,91.1,maruti,ciaz
Kochi,2013,37199,Petrol,Automatic,First,5,11.33,5.43,17.5,1498,99.6,nissan,sunny
Hyderabad,2012,62000,Diesel,Manual,First,5,10.15,4.65,22.07,1199,73.9,volkswagen,polo
Hyderabad,2015,59000,Diesel,Manual,First,7,11.27,7.5,20.77,1248,88.8,maruti,ertiga
Jaipur,2015,60000,Diesel,Manual,First,5,7.88,6.25,26.59,1248,74,maruti,swift
Bangalore,2007,39037,Diesel,Automatic,First,5,49.49,9.25,14.84,2143,170,mercedes-benz,new
Mumbai,2013,17003,Petrol,Manual,First,5,6.62,3.15,19.4,1198,86.8,honda,brio
Hyderabad,2008,80400,Petrol,Manual,First,5,10.25,2.3,16,1086,66.7,hyundai,i10
Jaipur,2012,75200,Diesel,Manual,First,5,14.255,5.25,22.32,1582,126.32,hyundai,verna
Kochi,2017,41217,Diesel,Manual,First,5,11.11,7.4,28.09,1248,88.5,maruti,ciaz
Pune,2006,98293,Petrol,Manual,Second,5,11.685,1.55,13.8,1299,70,ford,ikon
Pune,2017,54000,Petrol,Manual,Second,5,10.15,6,16.2,1199,74,volkswagen,polo
Chennai,2016,17377,Petrol,Manual,First,5,9.6,5.9,18.7,1199,88.7,honda,jazz
Bangalore,2013,33800,Diesel,Manual,Second,5,8.54,4.7,25.8,1498,98.6,honda,amaze
Hyderabad,2015,86157,Diesel,Manual,First,5,10.25,6.5,22.54,1396,88.73,hyundai,i20
Hyderabad,2012,146824,Diesel,Manual,First,5,7.88,3.55,21.1,1248,73.9,maruti,ritz
Chennai,2014,55000,Petrol,Manual,First,5,13.58,7.1,16.8,1497,116.3,honda,city
Hyderabad,2010,53293,Petrol,Manual,First,5,33.36,6,13.14,1798,160,skoda,superb
Pune,2017,38000,Diesel,Manual,First,5,11.12,7.99,24.3,1248,88.5,maruti,vitara
Bangalore,2009,64000,Petrol,Manual,Second,5,10.25,4.1,17,1197,80,hyundai,i20
Hyderabad,2017,25058,Petrol,Automatic,First,5,4.36,3.95,24.07,998,67.1,maruti,alto
Kochi,2016,36700,Petrol,Manual,First,5,10.25,4.38,21.1,814,55.2,hyundai,eon
Mumbai,2011,35000,Petrol,Manual,First,5,10.25,2.75,20.36,1197,78.9,hyundai,i10
Coimbatore,2016,22732,Petrol,Automatic,First,2,49.49,55.54,18.1,3498,306,mercedes-benz,slk-class
Hyderabad,2014,48000,Diesel,Automatic,First,5,67.1,29,18.53,1968,187.74,audi,a6
Bangalore,2013,62084,Diesel,Manual,First,5,11.685,6.6,22.77,1498,98.59,ford,ecosport
Kolkata,2012,39273,Diesel,Automatic,First,5,10.15,6.99,14.3,1968,140,volkswagen,passat
Bangalore,2017,64798,Diesel,Manual,First,7,26.45,18.75,13.68,2393,147.8,toyota,innova
Jaipur,2010,100002,Diesel,Manual,Third,5,7.65,1.28,20,1399,68,ford,figo
Pune,2006,78000,Petrol,Manual,Third,5,11.3,1.2,14.49,1399,92.7,chevrolet,aveo
Coimbatore,2013,57717,Petrol,Manual,First,5,7.88,4.31,18.5,1197,85.8,maruti,ritz
Chennai,2011,109000,Diesel,Automatic,First,5,120,16.5,12.39,2179,147.51,land,rover
Coimbatore,2017,74515,Petrol,Manual,First,5,7.45,5.64,18.9,1197,82,hyundai,grand
Coimbatore,2017,50484,Diesel,Automatic,First,7,35.29,31.12,10.91,3198,197.2,ford,endeavour
Kochi,2013,13452,Diesel,Automatic,First,5,53.14,25.46,12.8,1968,167.6,audi,q5
Kochi,2017,37688,Petrol,Manual,First,5,14.255,7.88,17.01,1591,121.3,hyundai,verna
Chennai,2017,34000,Diesel,Automatic,First,5,86.97,36,13,2143,204,mercedes-benz,e-class
Pune,2014,120000,Diesel,Automatic,First,5,49.49,30,,2987,165,mercedes-benz,m-class
Pune,2008,64000,Petrol,Manual,Second,5,7.88,2.85,17.5,1298,85.8,maruti,swift
Delhi,2011,100000,Petrol,Manual,First,5,13.58,3.5,13,1343,90,honda,city
Jaipur,2014,75000,Diesel,Manual,First,5,15.05,7.5,20.46,1461,83.8,renault,duster
Hyderabad,2012,86000,Diesel,Automatic,First,5,49.49,19,14.84,2143,170,mercedes-benz,new
Hyderabad,2015,69000,Diesel,Automatic,First,5,55.07,54,15.97,2993,258,bmw,x5
Kochi,2015,41721,Petrol,Manual,First,5,8.23,4.7,19.1,1197,82,hyundai,xcent
Hyderabad,2017,13000,Petrol,Automatic,First,5,10.34,8.5,22,1197,81.8,maruti,dzire
Kolkata,2013,38998,Diesel,Automatic,First,4,54.43,17,16.07,1995,181,bmw,3
Kochi,2017,54250,Petrol,Manual,First,5,4.36,3.51,22.74,796,47.3,maruti,alto
Bangalore,2013,45979,Diesel,Automatic,Second,5,53.14,19.5,17.11,1968,174.33,audi,a4
Pune,2012,37000,Petrol,Automatic,Second,4,42.12,17,13.6,1598,181,mini,cooper
Coimbatore,2015,46983,Diesel,Automatic,Second,7,101.96,43.35,12.07,2967,241.4,audi,q7
Bangalore,2012,40700,Diesel,Manual,First,5,11.3,2.65,25.44,936,57.6,chevrolet,beat
Kochi,2015,43828,Petrol,Manual,First,5,5.51,3.52,20.51,998,67.04,maruti,wagon
Kolkata,2016,53000,Diesel,Manual,First,5,16.65,6.25,19.01,1461,108.5,nissan,terrano
Ahmedabad,2015,100000,Diesel,Automatic,First,5,54.43,24.75,18.88,1995,184,bmw,3
Mumbai,2015,19000,Petrol,Manual,First,5,7.88,5.25,20.85,1197,83.14,maruti,swift
Jaipur,2016,84000,Diesel,Manual,First,5,25.83,11,17.72,1968,108.5,skoda,yeti
Kochi,2018,37630,Petrol,Automatic,First,5,11.685,9.1,15.63,1499,110.4,ford,ecosport
Chennai,2010,67714,Petrol,Manual,First,5,10.25,3.25,18.5,1197,80,hyundai,i20
Pune,2017,32000,Diesel,Manual,First,5,7.88,8.5,15,1248,88.5,maruti,s
Pune,2010,51000,Petrol,Manual,First,5,14.255,3.1,16.2,1599,103.2,hyundai,verna
Kochi,2015,58390,Diesel,Automatic,First,5,54.43,19.86,18.88,1995,184,bmw,3
Kolkata,2017,14000,Diesel,Manual,First,5,7.46,4.9,24,1186,73.97,hyundai,grand
Delhi,2014,55818,Petrol,Manual,Second,5,11.85,5.7,17.4,1497,117.3,honda,city
Chennai,2006,97800,Petrol,Manual,Third,,7.88,1.75,16.1,,,maruti,swift
Kolkata,2012,52241,Diesel,Manual,First,5,7.88,2.9,25.2,1248,74,maruti,swift
Coimbatore,2018,25433,Diesel,Manual,First,5,8.8,7.83,27.39,1248,74,maruti,baleno
Kochi,2015,40611,Diesel,Manual,First,7,16.95,8.15,14,2179,138.1,tata,safari
Bangalore,2008,72000,Petrol,Manual,Second,5,10.25,2,13.2,1495,94,hyundai,accent
Hyderabad,2016,54631,Diesel,Manual,First,5,7.88,6.25,25.2,1248,74,maruti,swift
Bangalore,2007,60000,Diesel,Manual,Second,5,7.88,3.4,17.8,1248,,maruti,swift
Coimbatore,2016,24941,Petrol,Automatic,First,4,7.63,3.19,21.9,624,37.48,tata,nano
Ahmedabad,2017,63939,Diesel,Manual,First,7,10.41,7.75,25.47,1248,88.5,maruti,ertiga
Delhi,2014,35214,Petrol,Automatic,Second,5,5.57,3.2,23.1,998,67.04,maruti,celerio
Delhi,2015,63000,Diesel,Manual,First,5,7.88,4.9,25.2,1248,74,maruti,swift
Kochi,2012,121377,Petrol,Manual,First,5,13.23,3.8,15.04,1598,103.6,volkswagen,vento
Chennai,2009,100970,Diesel,Automatic,First,5,10.15,4,15.5,1896,105,volkswagen,jetta
Hyderabad,2014,60000,Diesel,Automatic,Second,5,42.48,23.5,20.7,1496,113.98,mini,cooper
Chennai,2008,77650,Diesel,Manual,First,5,7.63,1.15,17.2,1396,53.5,tata,indica
Hyderabad,2007,71297,Petrol,Manual,First,5,4.55,2.2,17,1086,,hyundai,santro
Mumbai,2008,55001,Diesel,Automatic,Second,,120,26.5,,,,land,rover
Bangalore,2015,18955,Petrol,Automatic,First,5,16.04,10.65,18,1497,117.3,honda,city
Coimbatore,2016,47877,Diesel,Automatic,First,5,69.675,35.68,16.36,2179,187.7,jaguar,xf
Kochi,2017,43368,Diesel,Automatic,First,5,86.97,31.94,15,2143,204,mercedes-benz,e-class
Chennai,2011,73000,Diesel,Manual,Third,5,11.3,4.2,18.3,1991,147.9,chevrolet,cruze
Ahmedabad,2015,72007,Diesel,Manual,First,7,18.865,9.9,15.1,2179,140,mahindra,xuv500
Kochi,2014,56778,Petrol,Automatic,First,5,49.49,15.46,11.74,1796,186,mercedes-benz,new
Kochi,2018,20024,Petrol,Manual,First,5,9.1,8.46,18.2,1199,88.7,honda,jazz
Kolkata,2013,42103,Petrol,Manual,First,5,8.525,3.25,16.78,1496,88.73,toyota,etios
Hyderabad,2012,67147,Petrol,Manual,First,5,4.36,2.6,19.7,796,46.3,maruti,alto
Coimbatore,2016,37806,Petrol,Manual,First,5,7.88,5.2,20.4,1197,81.8,maruti,swift
Pune,2009,85000,Petrol,Manual,Third,5,7.88,1.8,19,998,66.1,maruti,a-star
Chennai,2011,35000,Petrol,Manual,First,4,7.63,1.6,25.4,624,37.48,tata,nano
Kolkata,2015,72035,Diesel,Manual,First,5,7.65,2.5,25.5,1498,99,ford,figo
Jaipur,2011,48500,Petrol,Manual,First,5,9.075,2.5,16,1368,90,fiat,linea
Coimbatore,2017,28854,Petrol,Manual,First,5,7.65,6.7,18.16,1196,86.8,ford,figo
Hyderabad,2005,92450,Petrol,Manual,First,5,8.8,1.2,15.4,1590,94,maruti,baleno
Coimbatore,2016,14351,Diesel,Automatic,First,5,54.43,35.55,18.88,1995,184,bmw,3
Jaipur,2017,51087,Diesel,Manual,First,5,11.3,7.75,17.9,1998,163.7,chevrolet,cruze
Chennai,2005,50000,Diesel,Manual,First,8,18.865,1.94,12.7,2609,116.6,mahindra,scorpio
Hyderabad,2016,73000,Diesel,Manual,First,5,7.63,2.2,25,1396,69,tata,indica
Ahmedabad,2011,60000,Diesel,Automatic,First,4,11.3,3.8,18.1,1991,147.9,chevrolet,cruze
Chennai,2016,50000,Diesel,Manual,First,8,24.01,15.65,12.8,2494,102,toyota,innova
Coimbatore,2018,36797,Diesel,Automatic,First,5,49.49,39.47,19.27,2143,167.62,mercedes-benz,new
Kolkata,2011,50000,Petrol,Manual,Second,5,7.88,1.5,18.5,1197,85.8,maruti,ritz
Ahmedabad,2013,94000,Diesel,Manual,First,8,24.01,8.85,12.8,2494,102,toyota,innova
Bangalore,2013,74000,Diesel,Manual,Second,7,37.17,17.9,12.55,2982,168.5,toyota,fortuner
Coimbatore,2014,41016,Petrol,Automatic,Second,5,10.25,5.08,16.95,1197,78.9,hyundai,i10
Bangalore,2012,67000,Diesel,Manual,First,5,14.255,6.25,22.32,1582,126.32,hyundai,verna
Bangalore,2015,76927,Diesel,Automatic,First,5,44.8,22.75,15.73,1968,174.33,audi,q3
Kolkata,2010,17088,Petrol,Manual,First,5,11.3,1.46,18.6,1199,79.4,chevrolet,beat
Pune,2007,112808,Diesel,Manual,Second,5,11.685,2.05,17.8,1399,68,ford,fiesta
Coimbatore,2014,74980,Diesel,Manual,First,5,7.65,4.08,20,1399,68,ford,figo
Hyderabad,2014,44600,Petrol,Automatic,First,5,5.87,4.55,23.1,998,67.04,maruti,celerio
Mumbai,2013,37000,Diesel,Automatic,First,5,34.63,14,20,2143,107.3,mercedes-benz,a
Ahmedabad,2016,21000,Petrol,Manual,First,5,13.74,10.9,15.8,1591,121.3,hyundai,creta
Bangalore,2010,81245,Petrol,Manual,First,5,5.51,2.45,18.9,998,67.1,maruti,wagon
Delhi,2013,70000,Diesel,Automatic,First,5,86.97,15.8,10,2148,170,mercedes-benz,e-class
Mumbai,2017,4018,Petrol,Manual,First,5,11.685,8.25,18.88,1499,110.4,ford,ecosport
Delhi,2013,70000,Diesel,Automatic,Second,5,15.05,8.5,13.73,1995,148,renault,koleos
Coimbatore,2016,56532,Diesel,Manual,First,7,18.865,15.54,16,2179,140,mahindra,xuv500
Hyderabad,2013,26875,Petrol,Manual,First,8,7.88,2.35,16.8,796,34.2,maruti,omni
Coimbatore,2015,72599,Petrol,Manual,First,5,5.72,4.32,22.5,998,67.04,maruti,wagon
Jaipur,2008,205000,Diesel,Manual,Second,7,35.29,3.9,13.1,2499,141,ford,endeavour
Hyderabad,2011,98000,Diesel,Manual,Second,5,14.255,5.2,22.32,1582,126.32,hyundai,verna
Mumbai,2018,19500,Petrol,Manual,First,5,10.25,5.85,18.6,1197,81.83,hyundai,i20
Bangalore,2013,68000,Petrol,Manual,Second,7,11.27,6.25,16.02,1373,93.7,maruti,ertiga
Coimbatore,2019,19654,Diesel,Automatic,First,7,21.33,17.63,14,2179,155,mahindra,xuv500
Mumbai,2017,26000,Diesel,Manual,First,5,7.88,9.75,23.65,1248,88.5,maruti,sx4
Bangalore,2015,10000,Petrol,Automatic,First,2,49.49,55,18.1,3498,306,mercedes-benz,slk-class
Hyderabad,2011,75020,Diesel,Manual,First,5,10.15,4.1,22.07,1199,73.9,volkswagen,polo
Hyderabad,2011,157000,Diesel,Manual,First,7,37.17,11.99,12.55,2982,168.5,toyota,fortuner
Kochi,2017,43773,Diesel,Manual,First,7,18.865,13.54,16,2179,140,mahindra,xuv500
Mumbai,2016,21000,Diesel,Automatic,First,5,78.76,56,17.9,2143,201.15,mercedes-benz,gle
Chennai,2016,23280,Petrol,Manual,First,5,9.6,6.5,18.7,1199,88.7,honda,jazz
Pune,2013,88000,Diesel,Manual,First,5,7.88,4.75,23.4,1248,74,maruti,swift
Hyderabad,2014,67000,Petrol,Manual,First,5,14.255,5.6,17.01,1591,121.3,hyundai,verna
Coimbatore,2017,59636,Diesel,Automatic,First,7,35.29,29.2,10.91,3198,197,ford,endeavour
Kolkata,2018,11000,Petrol,Manual,First,5,10.25,6.35,18.6,1197,81.83,hyundai,i20
Mumbai,2013,60669,Petrol,Manual,First,5,13.58,4.95,16.8,1497,116.3,honda,city
Hyderabad,2018,12000,Diesel,Manual,First,5,10.34,8.5,27.4,1498,98.6,honda,amaze
Kolkata,2013,35000,Petrol,Manual,First,5,14.255,4.5,17.1,1591,121.3,hyundai,verna
Chennai,2015,65000,Diesel,Manual,First,7,13.58,5.5,24.2,1498,98.6,honda,mobilio
Kochi,2013,39929,Diesel,Manual,First,7,11.27,6.56,20.77,1248,88.8,maruti,ertiga
Pune,2014,49000,Petrol,Manual,First,5,4.29,2.3,24.07,998,67.1,maruti,alto
Pune,2004,77757,Diesel,Manual,Second,10,24.01,3.5,13.1,2446,75,toyota,qualis
Kochi,2016,21456,Petrol,Manual,First,5,10.25,4.55,20.36,1197,78.9,hyundai,i10
Bangalore,2009,74000,Diesel,Automatic,Second,5,25.83,7.75,17,1896,105,skoda,laura
Mumbai,2015,37000,Petrol,Manual,Second,5,10.25,5.25,18.6,1197,81.83,hyundai,i20
Coimbatore,2013,108640,Diesel,Automatic,First,5,67.87,23.29,11.5,2993,235,bmw,5
Mumbai,2016,38000,Diesel,Automatic,First,5,54.43,23.99,22.69,1995,190,bmw,3
Pune,2010,80000,Petrol,Manual,First,5,11.3,1.79,14.49,1399,92.7,chevrolet,aveo
Mumbai,2011,47000,Diesel,Automatic,Second,5,86.97,13.9,14.21,2143,203,mercedes-benz,e-class
Kolkata,2013,31000,Diesel,Automatic,First,5,67.1,18.95,17.68,1968,174.33,audi,a6
Kolkata,2014,40000,Petrol,Manual,First,5,5.51,2.49,20.51,998,67.04,maruti,wagon
Jaipur,2016,4152,Petrol,Manual,First,5,4.78,3.15,25.17,799,53.3,renault,kwid
Mumbai,2017,51000,Diesel,Manual,First,5,10.04,6.45,21.66,1498,108.62,volkswagen,ameo
Ahmedabad,2013,55000,Diesel,Manual,First,5,10.15,4.25,22.07,1199,73.9,volkswagen,polo
Hyderabad,2014,58500,Petrol,Manual,First,5,4.36,2.75,22.74,796,47.3,maruti,alto
Kochi,2017,58620,Petrol,Manual,First,5,10.25,7.14,18.6,1197,81.83,hyundai,i20
Mumbai,2012,29605,Petrol,Manual,First,5,8.525,2.44,18.3,1197,,toyota,etios
Jaipur,2012,71172,Petrol,Manual,Third,5,10.25,3.5,17,1197,80,hyundai,i20
Chennai,2017,12000,Diesel,Manual,First,5,10.25,7.3,22.54,1396,88.73,hyundai,i20
Kolkata,2014,25000,Petrol,Manual,First,5,5.51,2.75,20.51,998,67.04,maruti,wagon
Bangalore,2017,43000,Diesel,Manual,Second,5,10.25,8.2,22.54,1396,88.73,hyundai,i20
Mumbai,2015,57022,Petrol,Automatic,First,5,10.15,6.51,17.21,1197,103.6,volkswagen,polo
Pune,2015,92000,Diesel,Manual,First,5,7.65,4.25,20,1399,68.05,ford,figo
Coimbatore,2014,33372,Petrol,Manual,Second,5,7.88,6.21,18.6,1197,85.8,maruti,swift
Kochi,2016,52625,Diesel,Manual,First,5,7.45,4.58,24,1120,70,hyundai,grand
Chennai,2016,215000,Diesel,Manual,First,7,11.67,7.5,14.02,2179,118.3,mahindra,xylo
Delhi,2012,65537,CNG,Manual,First,5,4.36,2.1,26.83,796,38.4,maruti,alto
Coimbatore,2014,60138,Petrol,Manual,First,5,10.25,4.09,19.81,1086,68.05,hyundai,i10
Mumbai,2014,84000,Diesel,Automatic,First,5,25.83,10.75,19.3,1968,141,skoda,octavia
Mumbai,2014,47000,Diesel,Automatic,First,7,55.07,41.5,15.97,2993,258,bmw,x5
Hyderabad,2014,33450,Petrol,Automatic,First,5,5.87,4.4,23.1,998,67.04,maruti,celerio
Jaipur,2013,125000,Diesel,Manual,Second,5,13.23,6.25,20.54,1598,103.6,volkswagen,vento
Pune,2011,99606,Diesel,Automatic,Second,5,54.43,10.5,16.07,1995,181,bmw,3
Mumbai,2014,64000,Diesel,Manual,First,7,11.27,7.25,20.77,1248,88.8,maruti,ertiga
Hyderabad,2013,51000,Diesel,Manual,First,5,7.65,3.2,20,1399,68.05,ford,figo
Mumbai,2014,57000,Petrol,Manual,First,5,10.15,3.95,16.47,1198,74,volkswagen,polo
Coimbatore,2009,48040,Diesel,Automatic,Second,5,67.1,12.07,16.77,2967,241.38,audi,a6
Pune,2017,43200,Diesel,Manual,First,7,25.52,18.6,13.68,2393,147.8,toyota,innova
Delhi,2013,66000,Diesel,Automatic,First,5,14.255,5.7,22.32,1582,126.3,hyundai,verna
Kolkata,2013,31000,Petrol,Manual,First,5,4.55,1.75,17.92,1086,62.1,hyundai,santro
Delhi,2011,46000,Diesel,Automatic,Second,5,53.14,10.99,16.55,1968,147.51,audi,a4
Kolkata,2012,47346,Diesel,Automatic,First,5,53.14,14.5,16.55,1968,147.51,audi,a4
Jaipur,2009,100000,Diesel,Manual,First,5,25.83,3.11,17,1896,105,skoda,laura
Coimbatore,2015,63856,Petrol,Automatic,First,5,33.51,13.96,13.7,1997,153.86,honda,cr-v
Coimbatore,2015,72996,Diesel,Manual,First,5,14.255,7.11,22.32,1582,126.32,hyundai,verna
Chennai,2014,23000,Diesel,Manual,First,7,13.58,6.9,24.5,1498,98.6,honda,mobilio
Coimbatore,2018,15985,Petrol,Manual,First,5,10.25,7.77,18.6,1197,81.83,hyundai,i20
Kolkata,2011,98000,Diesel,Manual,Second,8,24.01,5.5,12.8,2494,102,toyota,innova
Hyderabad,2014,70089,Petrol,Manual,First,5,10.25,5.35,18.6,1197,81.83,hyundai,i20
Chennai,2011,99000,Diesel,Manual,Second,7,11.01,4.5,13.6,2523,63,mahindra,bolero
Jaipur,2014,72000,Diesel,Manual,First,5,13.23,4.75,20.34,1498,103.2,volkswagen,vento
Coimbatore,2015,44194,Diesel,Automatic,First,5,69.675,32.8,16.36,2179,187.7,jaguar,xf
Mumbai,2005,102000,Petrol,Manual,First,5,7.88,0.7,17.3,993,60,maruti,zen
Coimbatore,2018,56652,Diesel,Automatic,First,5,86.97,50.29,13,2987,258,mercedes-benz,e-class
Mumbai,2010,41650,Diesel,Manual,Second,7,37.17,10.99,11.5,2982,171,toyota,fortuner
Coimbatore,2015,61717,Petrol,Automatic,First,5,7.45,5.57,18.9,1197,82,hyundai,grand
Jaipur,2018,25302,Diesel,Manual,First,5,8.56,5.9,25.4,1186,73.97,hyundai,xcent
Coimbatore,2016,47016,Petrol,Manual,First,5,16.06,9.43,15.29,1591,121.3,hyundai,creta
Bangalore,2010,69000,Petrol,Manual,First,5,10.25,2.9,20.36,1197,78.9,hyundai,i10
Delhi,2016,32700,Petrol,Manual,First,5,6.62,3.68,19.4,1198,86.8,honda,brio
Coimbatore,2015,101337,Diesel,Automatic,First,7,37.17,21.67,12.55,2982,168.5,toyota,fortuner
Ahmedabad,2011,59000,Diesel,Automatic,First,5,53.14,12.5,16.55,1968,140,audi,a4
Kochi,2018,41736,Diesel,Automatic,First,7,27,19.92,11.36,2755,171.5,toyota,innova
Jaipur,2014,71649,Diesel,Manual,First,5,13.58,6.75,25.1,1498,98.6,honda,city
Kochi,2015,80606,Diesel,Manual,First,5,13.58,6.96,25.1,1498,98.6,honda,city
Jaipur,2017,63262,Petrol,Manual,First,5,4.78,3.25,21.7,999,67,renault,kwid
