Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Regionname,Propertycount,Price,Total_Space_New
Hawthorn,1,u,Kay,2017-03-06,5.3,3122.0,1,1,1,50.0,Southern Metropolitan,11308,560000,4
Hawthorn,3,u,Marshall,2017-03-06,5.3,3122.0,3,2,2,50.0,Southern Metropolitan,11308,970000,10
Hawthorn,2,h,Marshall,2017-03-06,5.3,3122.0,2,2,2,460.0,Southern Metropolitan,11308,1790000,8
Hawthorn,2,u,Jellis,2017-03-06,5.3,3122.0,2,1,1,50.0,Southern Metropolitan,11308,805000,6
Hawthorn East,2,u,Jellis,2017-03-06,6.2,3123.0,1,1,1,50.0,Southern Metropolitan,6482,780000,5
Hawthorn East,3,h,Jellis,2017-03-06,6.2,3123.0,3,2,1,282.0,Southern Metropolitan,6482,1875000,9
Hawthorn East,4,h,RT,2017-03-06,6.2,3123.0,4,2,2,528.0,Southern Metropolitan,6482,2320000,12
Hawthorn East,3,h,Jellis,2017-03-06,6.2,3123.0,3,1,1,593.0,Southern Metropolitan,6482,1237000,8
Hawthorn East,3,t,Jellis,2017-03-06,6.2,3123.0,3,2,2,265.0,Southern Metropolitan,6482,1465000,10
Heathmont,3,t,Philip,2017-03-06,21.3,3135.0,3,2,2,173.0,Eastern Metropolitan,3794,701000,10
Heathmont,3,h,Fletchers,2017-03-06,21.3,3135.0,3,1,2,797.0,Eastern Metropolitan,3794,850000,9
Heidelberg Heights,3,h,Miles,2017-03-06,8.8,3081.0,3,1,1,592.0,Eastern Metropolitan,2947,885000,8
Heidelberg Heights,3,t,Ray,2017-03-06,8.8,3081.0,3,1,1,236.0,Eastern Metropolitan,2947,710000,8
Highett,3,h,Buxton,2017-03-06,16.0,3190.0,3,1,1,635.0,Southern Metropolitan,4794,1190000,8
Hillside,3,h,Brad,2017-03-06,18.0,3037.0,3,2,1,453.0,Western Metropolitan,5556,485000,9
Hoppers Crossing,3,h,YPA,2017-03-06,18.4,3029.0,3,1,1,537.0,Western Metropolitan,13830,520000,8
Hoppers Crossing,3,h,hockingstuart,2017-03-06,18.4,3029.0,3,2,2,530.0,Western Metropolitan,13830,530000,10
Hoppers Crossing,3,h,hockingstuart,2017-03-06,18.4,3029.0,3,1,2,565.0,Western Metropolitan,13830,515000,9
Hoppers Crossing,3,h,Ray,2017-03-06,18.4,3029.0,3,1,1,537.0,Western Metropolitan,13830,370000,8
Hoppers Crossing,4,h,Ray,2017-03-06,18.4,3029.0,4,2,0,4606.0,Western Metropolitan,13830,1305000,10
Hoppers Crossing,3,h,hockingstuart,2017-03-06,18.4,3029.0,3,2,1,557.0,Western Metropolitan,13830,555500,9
Hoppers Crossing,3,h,hockingstuart,2017-03-06,18.4,3029.0,3,1,1,537.0,Western Metropolitan,13830,460000,8
Hughesdale,3,h,Woodards,2017-03-06,12.3,3166.0,3,1,1,593.0,Southern Metropolitan,3145,770000,8
Hughesdale,4,h,Woodards,2017-03-06,12.3,3166.0,3,1,1,593.0,Southern Metropolitan,3145,1000000,9
Ivanhoe,4,h,Nelson,2017-03-06,7.8,3079.0,4,1,2,587.0,Eastern Metropolitan,5549,1350000,11
Ivanhoe,3,u,Miles,2017-03-06,7.8,3079.0,3,2,1,50.0,Eastern Metropolitan,5549,910000,9
Ivanhoe,3,h,Nelson,2017-03-06,7.8,3079.0,3,2,2,334.0,Eastern Metropolitan,5549,1300000,10
Ivanhoe East,3,h,Miles,2017-03-06,7.8,3079.0,3,2,1,805.0,Eastern Metropolitan,1554,2525000,9
Ivanhoe East,2,u,Nelson,2017-03-06,7.8,3079.0,2,1,1,50.0,Eastern Metropolitan,1554,535000,6
Keilor Downs,3,h,Ace,2017-03-06,15.5,3038.0,3,1,4,677.0,Western Metropolitan,3656,580000,11
Keilor Park,3,h,Nelson,2017-03-06,10.4,3042.0,3,1,2,647.0,Western Metropolitan,1119,670000,9
Kensington,3,t,Nelson,2017-03-06,3.4,3031.0,3,2,1,68.0,Northern Metropolitan,5263,855000,9
Kensington,2,h,Nelson,2017-03-06,3.4,3031.0,2,1,0,165.0,Northern Metropolitan,5263,990000,5
Kew,2,u,Lindellas,2017-03-06,5.4,3101.0,2,1,1,1037.0,Southern Metropolitan,10331,630000,6
Kew,2,t,hockingstuart,2017-03-06,5.4,3101.0,2,1,1,50.0,Southern Metropolitan,10331,942000,6
Kew,2,h,Domain,2017-03-06,5.4,3101.0,2,1,2,239.0,Southern Metropolitan,10331,912500,7
Kew,1,u,Marshall,2017-03-06,5.4,3101.0,1,1,1,50.0,Southern Metropolitan,10331,515000,4
Kew,2,u,Nelson,2017-03-06,5.4,3101.0,2,1,1,710.0,Southern Metropolitan,10331,672000,6
Kew,3,h,Marshall,2017-03-06,5.4,3101.0,3,1,1,593.0,Southern Metropolitan,10331,1280000,8
Kew East,4,h,Jellis,2017-03-06,7.3,3102.0,4,2,3,794.0,Southern Metropolitan,2671,2162000,13
Kew East,3,h,Jellis,2017-03-06,7.3,3102.0,3,2,4,753.0,Southern Metropolitan,2671,2260000,12
Keysborough,4,h,C21,2017-03-06,25.2,3173.0,4,2,1,624.0,South-Eastern Metropolitan,8459,745000,11
Kingsbury,4,h,Purplebricks,2017-03-06,12.1,3083.0,4,1,2,467.0,Northern Metropolitan,1414,800001,11
Kingsville,3,h,Jas,2017-03-06,6.4,3012.0,3,1,1,335.0,Western Metropolitan,1808,1180000,8
Lalor,3,h,Ray,2017-03-06,16.3,3075.0,3,1,2,589.0,Northern Metropolitan,8279,521000,9
MacLeod,3,h,Miles,2017-03-06,12.7,3085.0,3,1,1,482.0,Northern Metropolitan,4168,1081000,8
MacLeod,3,h,Ray,2017-03-06,12.7,3085.0,3,1,1,482.0,Northern Metropolitan,4168,795000,8
MacLeod,3,h,Ray,2017-03-06,12.7,3085.0,3,1,1,482.0,Northern Metropolitan,4168,945000,8
MacLeod,3,h,Barry,2017-03-06,12.7,3085.0,3,1,1,482.0,Northern Metropolitan,4168,740000,8
Malvern,2,t,Marshall,2017-03-06,5.9,3144.0,2,1,2,195.0,Southern Metropolitan,4675,910000,7
Malvern,3,h,Kay,2017-03-06,5.9,3144.0,3,4,2,950.0,Southern Metropolitan,4675,4900000,12
Malvern,2,u,Gary,2017-03-06,5.9,3144.0,2,1,1,50.0,Southern Metropolitan,4675,592000,6
Malvern,1,u,Biggin,2017-03-06,5.9,3144.0,1,1,1,1112.0,Southern Metropolitan,4675,455000,4
Malvern East,3,h,Jellis,2017-03-06,8.4,3145.0,3,1,1,593.0,Southern Metropolitan,8801,2355000,8
Malvern East,3,h,Marshall,2017-03-06,8.4,3145.0,3,2,2,531.0,Southern Metropolitan,8801,2265000,10
Malvern East,3,h,Marshall,2017-03-06,8.4,3145.0,3,2,2,580.0,Southern Metropolitan,8801,1780000,10
Maribyrnong,2,u,Brad,2017-03-06,4.3,3032.0,2,2,2,37000.0,Western Metropolitan,4918,585000,8
Maribyrnong,4,h,Edward,2017-03-06,4.3,3032.0,3,1,1,537.0,Western Metropolitan,4918,940000,9
Maribyrnong,4,h,Biggin,2017-03-06,4.3,3032.0,4,2,2,238.0,Western Metropolitan,4918,1085000,12
Maribyrnong,4,h,Nelson,2017-03-06,4.3,3032.0,3,1,1,537.0,Western Metropolitan,4918,1125000,9
McKinnon,4,h,hockingstuart,2017-03-06,11.4,3204.0,4,2,2,568.0,Southern Metropolitan,2397,1680000,12
Melbourne,2,u,Jellis,2017-03-06,0.0,3000.0,1,1,1,50.0,Northern Metropolitan,17496,850000,5
Melton,4,h,YPA,2017-03-06,31.7,3337.0,4,2,2,643.0,Western Victoria,3600,400000,12
Melton South,3,h,Ray,2017-03-06,29.8,3338.0,3,1,2,603.0,Western Victoria,4718,315000,9
Melton South,4,h,Raine,2017-03-06,29.8,3338.0,4,2,1,766.0,Western Victoria,4718,355000,11
Melton West,5,h,Raine,2017-03-06,31.7,3337.0,5,2,2,666.0,Northern Victoria,6065,355000,14
Mentone,3,t,hockingstuart,2017-03-06,20.0,3194.0,3,3,2,93.0,South-Eastern Metropolitan,6162,815000,11
Mentone,2,t,Hodges,2017-03-06,20.0,3194.0,2,1,1,50.0,South-Eastern Metropolitan,6162,800000,6
Mentone,3,h,hockingstuart,2017-03-06,20.0,3194.0,3,1,2,530.0,South-Eastern Metropolitan,6162,885000,9
Mernda,3,h,hockingstuart,2017-03-06,25.9,3754.0,3,1,1,482.0,Northern Metropolitan,5812,487500,8
Mernda,4,h,Flannagan,2017-03-06,25.9,3754.0,3,1,1,482.0,Northern Metropolitan,5812,700000,9
Middle Park,3,h,Cayzer,2017-03-06,3.0,3206.0,3,1,0,207.0,Southern Metropolitan,2019,2010000,7
Middle Park,6,h,Marshall,2017-03-06,3.0,3206.0,6,4,2,472.0,Southern Metropolitan,2019,5600000,18
Middle Park,3,h,Cayzer,2017-03-06,3.0,3206.0,3,2,1,321.0,Southern Metropolitan,2019,1850000,9
Mill Park,3,h,Millership,2017-03-06,17.9,3082.0,3,2,1,991.0,Northern Metropolitan,10529,663500,9
Mill Park,4,h,Harcourts,2017-03-06,17.9,3082.0,3,2,1,808.0,Northern Metropolitan,10529,732000,10
Mill Park,4,h,Harcourts,2017-03-06,17.9,3082.0,4,2,3,649.0,Northern Metropolitan,10529,720000,13
Mill Park,3,u,Millership,2017-03-06,17.9,3082.0,1,1,1,50.0,Northern Metropolitan,10529,455000,6
Mill Park,3,h,LJ,2017-03-06,17.9,3082.0,3,1,2,526.0,Northern Metropolitan,10529,556500,9
Mill Park,3,h,Love,2017-03-06,17.9,3082.0,3,1,1,482.0,Northern Metropolitan,10529,566000,8
Mill Park,3,h,Ray,2017-03-06,17.9,3082.0,3,1,1,482.0,Northern Metropolitan,10529,560000,8
Mitcham,3,h,Noel,2017-03-06,17.2,3132.0,3,1,1,693.5,Eastern Metropolitan,6871,1125000,8
Montmorency,3,h,Barry,2017-03-06,16.2,3094.0,3,1,1,693.5,Eastern Metropolitan,3891,830000,8
Montmorency,3,t,Darren,2017-03-06,16.2,3094.0,3,1,1,236.0,Eastern Metropolitan,3891,642000,8
Montmorency,3,u,Nelson,2017-03-06,16.2,3094.0,3,1,2,280.0,Eastern Metropolitan,3891,569000,9
Moonee Ponds,3,h,McDonald,2017-03-06,6.2,3039.0,3,2,2,596.0,Western Metropolitan,6232,1850000,10
Moonee Ponds,2,h,McDonald,2017-03-06,6.2,3039.0,2,1,0,233.0,Western Metropolitan,6232,1090000,5
Moonee Ponds,3,u,Brad,2017-03-06,6.2,3039.0,2,1,1,80.0,Western Metropolitan,6232,1100000,7
Moonee Ponds,2,h,Barry,2017-03-06,6.2,3039.0,2,1,0,251.0,Western Metropolitan,6232,760000,5
Moorabbin,3,h,Woodards,2017-03-06,14.3,3189.0,3,2,2,347.0,Southern Metropolitan,2555,1090500,10
Mooroolbark,5,h,Max,2017-03-06,26.5,3138.0,5,2,2,1254.0,Eastern Victoria,8280,872000,14
Mooroolbark,3,h,Fletchers,2017-03-06,26.5,3138.0,3,2,2,947.0,Eastern Victoria,8280,730000,10
Mordialloc,1,u,Thomson,2017-03-06,21.5,3195.0,1,1,1,50.0,South-Eastern Metropolitan,3650,519000,4
Mordialloc,4,t,hockingstuart,2017-03-06,21.5,3195.0,4,2,2,312.0,South-Eastern Metropolitan,3650,1170000,12
Mount Waverley,2,u,Ray,2017-03-06,14.2,3149.0,2,1,1,198.0,Eastern Metropolitan,13366,720000,6
Mount Waverley,2,u,Ray,2017-03-06,14.2,3149.0,2,1,1,173.0,Eastern Metropolitan,13366,572000,6
Mount Waverley,3,h,Harcourts,2017-03-06,14.2,3149.0,3,1,1,693.5,Eastern Metropolitan,13366,1350000,8
Mount Waverley,3,h,McGrath,2017-03-06,14.2,3149.0,3,1,1,693.5,Eastern Metropolitan,13366,855000,8
Mount Waverley,3,h,Buxton,2017-03-06,14.2,3149.0,3,1,2,911.0,Eastern Metropolitan,13366,1640000,9
Mount Waverley,3,t,McGrath,2017-03-06,14.2,3149.0,3,2,2,297.0,Eastern Metropolitan,13366,1011000,10
Mount Waverley,5,h,JRW,2017-03-06,14.2,3149.0,5,2,2,728.0,Eastern Metropolitan,13366,1450000,14
Mulgrave,3,h,Nelson,2017-03-06,18.8,3170.0,3,2,2,705.0,South-Eastern Metropolitan,7113,880000,10
Mulgrave,3,h,Ray,2017-03-06,18.8,3170.0,3,1,2,632.0,South-Eastern Metropolitan,7113,960000,9
Mulgrave,4,t,Ray,2017-03-06,18.8,3170.0,2,1,1,248.0,South-Eastern Metropolitan,7113,750000,8
Murrumbeena,3,h,Woodards,2017-03-06,10.1,3163.0,3,2,2,335.0,Southern Metropolitan,4442,1256000,10
Murrumbeena,1,u,hockingstuart,2017-03-06,10.1,3163.0,1,1,1,50.0,Southern Metropolitan,4442,330000,4
Murrumbeena,2,u,Buxton,2017-03-06,10.1,3163.0,2,1,2,50.0,Southern Metropolitan,4442,670000,7
Murrumbeena,1,u,Gary,2017-03-06,10.1,3163.0,1,1,1,50.0,Southern Metropolitan,4442,292000,4
Murrumbeena,2,u,hockingstuart,2017-03-06,10.1,3163.0,2,1,1,1166.0,Southern Metropolitan,4442,602000,6
Niddrie,4,h,Barry,2017-03-06,10.4,3042.0,4,2,2,650.0,Western Metropolitan,2291,1337000,12
North Melbourne,2,h,JMRE,2017-03-06,1.8,3051.0,2,1,0,102.0,Northern Metropolitan,6821,970000,5
Northcote,2,u,McGrath,2017-03-06,5.3,3070.0,1,1,1,50.0,Northern Metropolitan,11364,550000,5
Northcote,3,h,Nelson,2017-03-06,5.3,3070.0,3,1,1,352.0,Northern Metropolitan,11364,1232000,8
Nunawading,4,t,Noel,2017-03-06,15.4,3131.0,3,1,1,236.0,Eastern Metropolitan,4973,1200000,9
Nunawading,4,t,Jellis,2017-03-06,15.4,3131.0,4,2,2,338.0,Eastern Metropolitan,4973,950000,12
Oak Park,2,u,Brad,2017-03-06,11.2,3046.0,1,1,1,50.0,Northern Metropolitan,2651,630000,5
Oak Park,2,u,Brad,2017-03-06,11.2,3046.0,2,1,1,106.0,Northern Metropolitan,2651,460000,6
Oak Park,4,h,Nelson,2017-03-06,11.2,3046.0,4,2,2,697.0,Northern Metropolitan,2651,1138000,12
Oak Park,3,t,Nelson,2017-03-06,11.2,3046.0,2,1,1,145.0,Northern Metropolitan,2651,870000,7
Oakleigh,4,h,Woodards,2017-03-06,12.3,3166.0,4,2,2,568.0,Southern Metropolitan,3224,1410000,12
Oakleigh,3,h,Woodards,2017-03-06,12.3,3166.0,3,1,1,545.0,Southern Metropolitan,3224,1245000,8
Oakleigh East,2,h,Ray,2017-03-06,12.3,3166.0,2,1,1,703.0,Southern Metropolitan,2547,1114000,6
Oakleigh East,3,u,Buxton,2017-03-06,12.3,3166.0,3,1,1,211.0,Southern Metropolitan,2547,740000,8
Oakleigh South,4,h,Buxton,2017-03-06,15.5,3167.0,4,2,2,564.0,South-Eastern Metropolitan,3692,1120000,12
Oakleigh South,3,h,Woodards,2017-03-06,15.5,3167.0,3,1,2,640.0,South-Eastern Metropolitan,3692,945000,9
Ormond,1,u,Thomson,2017-03-06,11.4,3204.0,1,1,1,821.0,Southern Metropolitan,3578,280000,4
Ormond,2,u,Gary,2017-03-06,11.4,3204.0,2,1,1,50.0,Southern Metropolitan,3578,485000,6
Pakenham,4,h,Ray,2017-03-06,47.3,3810.0,3,1,2,840.0,Eastern Victoria,17384,510000,10
Parkdale,3,h,Buxton,2017-03-06,21.5,3195.0,3,2,2,627.0,South-Eastern Metropolitan,5087,1315000,10
Parkdale,2,t,Buxton,2017-03-06,21.5,3195.0,2,1,1,248.0,South-Eastern Metropolitan,5087,620000,6
Parkville,3,u,Woodards,2017-03-06,1.8,3052.0,3,2,1,2431.0,Northern Metropolitan,2309,1770000,9
Pascoe Vale,3,u,Brad,2017-03-06,8.5,3044.0,3,1,1,365.0,Northern Metropolitan,7485,630000,8
Point Cook,4,h,LJ,2017-03-06,14.7,3030.0,3,1,1,537.0,Western Metropolitan,15542,716500,9
Port Melbourne,3,u,Marshall,2017-03-06,3.5,3207.0,3,2,2,50.0,Southern Metropolitan,8648,1725000,10
Port Melbourne,3,h,Marshall,2017-03-06,3.5,3207.0,3,2,2,133.0,Southern Metropolitan,8648,1325000,10
Port Melbourne,2,u,Biggin,2017-03-06,3.5,3207.0,2,1,1,6830.0,Southern Metropolitan,8648,625000,6
Port Melbourne,2,u,Cayzer,2017-03-06,3.5,3207.0,2,2,1,1472.0,Southern Metropolitan,8648,665000,7
Prahran,3,h,Marshall,2017-03-06,4.6,3181.0,3,1,1,593.0,Southern Metropolitan,7717,1810000,8
Prahran,1,u,Thomson,2017-03-06,4.6,3181.0,1,1,1,50.0,Southern Metropolitan,7717,329000,4
Prahran,3,h,Jellis,2017-03-06,4.6,3181.0,3,2,0,145.0,Southern Metropolitan,7717,1400000,8
Preston,3,h,McGrath,2017-03-06,8.4,3072.0,3,1,2,485.0,Northern Metropolitan,14577,850000,9
Preston,2,t,Nelson,2017-03-06,8.4,3072.0,2,1,1,145.0,Northern Metropolitan,14577,645000,6
Preston,5,h,hockingstuart,2017-03-06,8.4,3072.0,5,2,2,558.0,Northern Metropolitan,14577,1400000,14
Preston,3,t,Love,2017-03-06,8.4,3072.0,2,1,1,145.0,Northern Metropolitan,14577,808000,7
Preston,3,h,Barry,2017-03-06,8.4,3072.0,3,1,0,357.0,Northern Metropolitan,14577,930000,7
Preston,3,h,Barry,2017-03-06,8.4,3072.0,3,1,1,482.0,Northern Metropolitan,14577,1130000,8
Preston,4,h,Love,2017-03-06,8.4,3072.0,4,1,2,540.0,Northern Metropolitan,14577,830000,11
Preston,3,h,Love,2017-03-06,8.4,3072.0,3,1,2,470.0,Northern Metropolitan,14577,881000,9
Preston,3,u,Nelson,2017-03-06,8.4,3072.0,3,1,1,234.0,Northern Metropolitan,14577,660000,8
Preston,3,h,McGrath,2017-03-06,8.4,3072.0,3,1,2,349.0,Northern Metropolitan,14577,945000,9
Preston,3,h,Nelson,2017-03-06,8.4,3072.0,3,2,2,515.0,Northern Metropolitan,14577,1210000,10
Preston,3,h,Nelson,2017-03-06,8.4,3072.0,3,1,1,345.0,Northern Metropolitan,14577,970000,8
Preston,2,u,Nelson,2017-03-06,8.4,3072.0,2,1,1,163.0,Northern Metropolitan,14577,465000,6
Preston,3,h,Barry,2017-03-06,8.4,3072.0,3,1,2,590.0,Northern Metropolitan,14577,725000,9
Preston,3,h,hockingstuart,2017-03-06,8.4,3072.0,3,1,1,545.0,Northern Metropolitan,14577,990000,8
Preston,3,h,Nelson,2017-03-06,8.4,3072.0,3,1,1,448.0,Northern Metropolitan,14577,972500,8
Preston,3,h,Nelson,2017-03-06,8.4,3072.0,3,1,1,263.0,Northern Metropolitan,14577,955000,8
Princes Hill,3,h,Nelson,2017-03-06,3.5,3054.0,3,1,0,204.0,Northern Metropolitan,1008,1900000,7
Reservoir,4,h,Barry,2017-03-06,12.0,3073.0,4,2,2,665.0,Northern Metropolitan,21650,1100000,12
Reservoir,5,h,Nelson,2017-03-06,12.0,3073.0,5,2,2,601.0,Northern Metropolitan,21650,1266000,14
Reservoir,3,h,Nelson,2017-03-06,12.0,3073.0,3,2,1,461.0,Northern Metropolitan,21650,1040000,9
Reservoir,2,t,Ray,2017-03-06,12.0,3073.0,2,1,1,145.0,Northern Metropolitan,21650,625000,6
Reservoir,3,h,Barry,2017-03-06,12.0,3073.0,3,1,1,482.0,Northern Metropolitan,21650,751000,8
Reservoir,2,h,Ray,2017-03-06,12.0,3073.0,2,1,2,649.0,Northern Metropolitan,21650,888000,7
Reservoir,2,t,Harcourts,2017-03-06,12.0,3073.0,2,1,1,50.0,Northern Metropolitan,21650,521000,6
Reservoir,1,u,Nelson,2017-03-06,12.0,3073.0,1,1,1,50.0,Northern Metropolitan,21650,423750,4
Reservoir,3,h,hockingstuart,2017-03-06,12.0,3073.0,3,1,1,325.0,Northern Metropolitan,21650,857700,8
Reservoir,3,t,Barry,2017-03-06,12.0,3073.0,3,2,2,160.0,Northern Metropolitan,21650,642500,10
Reservoir,2,t,Nelson,2017-03-06,12.0,3073.0,2,1,1,145.0,Northern Metropolitan,21650,555000,6
Richmond,3,h,Biggin,2017-03-06,2.4,3121.0,3,1,1,294.0,Northern Metropolitan,14949,1676000,8
Richmond,4,h,Biggin,2017-03-06,2.4,3121.0,4,1,0,244.0,Northern Metropolitan,14949,1400000,9
Richmond,3,h,Jellis,2017-03-06,2.4,3121.0,3,1,1,163.0,Northern Metropolitan,14949,1301000,8
Richmond,2,u,Biggin,2017-03-06,2.4,3121.0,2,1,1,407.0,Northern Metropolitan,14949,575000,6
Ringwood,3,u,Carter,2017-03-06,19.9,3134.0,3,1,2,327.0,Eastern Metropolitan,7785,766000,9
Ringwood East,4,h,Fletchers,2017-03-06,21.3,3135.0,4,1,2,669.0,Eastern Metropolitan,4407,910000,11
Ringwood East,4,h,Real,2017-03-06,21.3,3135.0,4,1,1,833.0,Eastern Metropolitan,4407,1200000,10
Ringwood East,5,h,Fletchers,2017-03-06,21.3,3135.0,3,1,1,693.5,Eastern Metropolitan,4407,1080000,10
Ringwood North,3,h,Carter,2017-03-06,19.9,3134.0,3,1,1,693.5,Eastern Metropolitan,3619,1005000,8
Rosanna,2,u,Miles,2017-03-06,8.9,3084.0,2,1,1,247.0,Eastern Metropolitan,3540,675000,6
Rowville,3,h,Ray,2017-03-06,23.5,3178.0,3,1,1,372.0,South-Eastern Metropolitan,11667,622000,8
Roxburgh Park,3,h,Ray,2017-03-06,20.6,3064.0,3,2,2,255.0,Northern Metropolitan,5833,425000,10
Sandringham,4,t,Hodges,2017-03-06,15.2,3191.0,4,2,2,604.0,Southern Metropolitan,4497,2300000,12
Sandringham,3,h,Buxton,2017-03-06,15.2,3191.0,3,2,0,398.0,Southern Metropolitan,4497,1710000,8
Sandringham,2,u,Chisholm,2017-03-06,15.2,3191.0,1,1,1,50.0,Southern Metropolitan,4497,516000,5
Sandringham,4,t,McGrath,2017-03-06,15.2,3191.0,4,2,2,381.0,Southern Metropolitan,4497,2221000,12
Seabrook,3,h,LJ,2017-03-06,15.5,3028.0,3,1,2,531.0,Western Metropolitan,1793,515000,9
Seaford,3,h,Harcourts,2017-03-06,35.4,3198.0,3,1,2,648.0,South-Eastern Metropolitan,8077,540000,9
Seaholme,3,h,Sweeney,2017-03-06,11.0,3018.0,3,2,6,663.0,Western Metropolitan,852,1360000,14
Seddon,4,h,Sweeney,2017-03-06,5.1,3011.0,4,3,2,169.0,Western Metropolitan,2417,1500000,13
Seddon,3,h,Biggin,2017-03-06,5.1,3011.0,3,1,0,198.0,Western Metropolitan,2417,1180000,7
South Kingsville,3,h,McGrath,2017-03-06,6.2,3015.0,3,2,2,334.0,Western Metropolitan,984,790000,10
South Melbourne,2,u,Cayzer,2017-03-06,1.9,3205.0,2,2,2,50.0,Southern Metropolitan,5943,805000,8
South Melbourne,2,u,Greg,2017-03-06,1.9,3205.0,2,1,1,1646.0,Southern Metropolitan,5943,530000,6
South Morang,4,h,Harcourts,2017-03-06,20.5,3752.0,4,3,2,624.0,Northern Metropolitan,7969,915000,13
South Morang,3,h,Nelson,2017-03-06,20.5,3752.0,3,1,1,482.0,Northern Metropolitan,7969,460000,8
South Morang,3,h,Harcourts,2017-03-06,20.5,3752.0,3,2,4,492.0,Northern Metropolitan,7969,644000,12
South Morang,5,h,Ray,2017-03-06,20.5,3752.0,5,5,3,700.0,Northern Metropolitan,7969,905000,18
South Morang,3,h,RW,2017-03-06,20.5,3752.0,3,1,1,482.0,Northern Metropolitan,7969,647000,8
South Yarra,2,u,Abercromby's,2017-03-06,2.7,3141.0,2,2,1,50.0,Southern Metropolitan,14887,800000,7
South Yarra,2,h,Castran,2017-03-06,2.7,3141.0,2,2,1,187.0,Southern Metropolitan,14887,2210000,7
South Yarra,3,h,Kay,2017-03-06,2.7,3141.0,3,1,1,136.0,Southern Metropolitan,14887,1400000,8
South Yarra,3,u,hockingstuart,2017-03-06,2.7,3141.0,3,1,1,50.0,Southern Metropolitan,14887,805000,8
South Yarra,3,u,Jellis,2017-03-06,2.7,3141.0,3,2,1,50.0,Southern Metropolitan,14887,2400000,9
South Yarra,2,u,Gary,2017-03-06,2.7,3141.0,0,1,1,50.0,Southern Metropolitan,14887,535000,4
Southbank,3,u,MICM,2017-03-06,0.7,3006.0,1,1,1,50.0,Southern Metropolitan,8400,765000,6
Southbank,1,u,MICM,2017-03-06,0.7,3006.0,1,1,1,63.0,Southern Metropolitan,8400,422000,4
Southbank,2,u,MICM,2017-03-06,0.7,3006.0,2,2,1,50.0,Southern Metropolitan,8400,590000,7
St Albans,3,t,Bells,2017-03-06,14.0,3021.0,2,1,1,200.0,Western Metropolitan,14042,256000,7
St Kilda,4,h,Marshall,2017-03-06,5.0,3182.0,3,1,1,593.0,Southern Metropolitan,13240,2005000,9
St Kilda,2,u,hockingstuart,2017-03-06,5.0,3182.0,1,1,1,50.0,Southern Metropolitan,13240,928000,5
St Kilda,2,u,Buxton,2017-03-06,5.0,3182.0,2,1,1,3093.0,Southern Metropolitan,13240,586500,6
St Kilda,1,u,Marshall,2017-03-06,5.0,3182.0,1,1,1,50.0,Southern Metropolitan,13240,451000,4
Strathmore,4,h,Frank,2017-03-06,8.2,3041.0,3,1,1,537.0,Western Metropolitan,3284,1865000,9
Strathmore,4,t,Nelson,2017-03-06,8.2,3041.0,2,1,1,200.0,Western Metropolitan,3284,1200000,8
Strathmore,5,h,Nelson,2017-03-06,8.2,3041.0,5,3,6,699.0,Western Metropolitan,3284,1780000,19
Strathmore,2,h,Considine,2017-03-06,8.2,3041.0,2,2,1,213.0,Western Metropolitan,3284,790000,7
Sunbury,3,h,YPA,2017-03-06,31.7,3429.0,3,2,2,690.0,Western Metropolitan,14092,455000,10
Sunbury,3,h,Brad,2017-03-06,31.7,3429.0,3,2,2,600.0,Western Metropolitan,14092,410000,10
Sunshine,3,u,Sweeney,2017-03-06,10.5,3020.0,2,1,1,80.0,Western Metropolitan,3755,635000,7
Sunshine,3,h,Jas,2017-03-06,10.5,3020.0,3,2,3,540.0,Western Metropolitan,3755,775000,11
Sunshine North,3,h,Sweeney,2017-03-06,10.5,3020.0,3,1,0,637.0,Western Metropolitan,4217,690500,7
Sunshine West,3,h,Sweeney,2017-03-06,10.5,3020.0,3,2,2,535.0,Western Metropolitan,6763,520000,10
Sunshine West,3,h,Douglas,2017-03-06,10.5,3020.0,3,1,1,537.0,Western Metropolitan,6763,590900,8
Sunshine West,3,h,S&L,2017-03-06,10.5,3020.0,3,1,1,537.0,Western Metropolitan,6763,670000,8
Surrey Hills,2,u,HAR,2017-03-06,10.2,3127.0,2,1,2,193.0,Southern Metropolitan,5457,740000,7
Taylors Hill,3,h,Barry,2017-03-06,18.0,3037.0,3,2,2,666.0,Western Metropolitan,4242,680000,10
Taylors Lakes,3,h,Barry,2017-03-06,15.5,3038.0,3,2,2,808.0,Western Metropolitan,5336,790500,10
Taylors Lakes,3,h,Barry,2017-03-06,15.5,3038.0,3,2,2,665.0,Western Metropolitan,5336,695000,10
Taylors Lakes,5,h,Barry,2017-03-06,15.5,3038.0,5,2,2,705.0,Western Metropolitan,5336,805000,14
Templestowe,3,t,Jellis,2017-03-06,15.5,3106.0,3,1,1,236.0,Eastern Metropolitan,6202,1156000,8
Templestowe,3,h,Jellis,2017-03-06,15.5,3106.0,3,2,2,809.0,Eastern Metropolitan,6202,1350000,10
Templestowe Lower,3,h,hockingstuart,2017-03-06,12.4,3107.0,3,1,1,693.5,Eastern Metropolitan,5420,710000,8
Templestowe Lower,4,t,Jellis,2017-03-06,12.4,3107.0,4,3,2,332.0,Eastern Metropolitan,5420,1010000,13
