lead_time,market_segment_type,no_of_special_requests,avg_price_per_room,no_of_adults,no_of_weekend_nights,arrival_date,required_car_parking_space,no_of_week_nights,booking_status
89,Online,1,90.95,2,1,2018-04-18,0,3,Not_Canceled
253,Online,2,115.2,2,1,2018-09-19,0,0,Canceled
10,Online,1,112.33,2,0,2018-06-21,0,3,Not_Canceled
145,Online,0,153.0,2,1,2018-10-22,0,1,Canceled
55,Online,0,129.6,2,2,2018-10-21,0,2,Not_Canceled
195,Online,2,90.9,1,0,2018-10-18,0,4,Canceled
5,Offline,1,100.0,1,1,2018-05-23,0,1,Not_Canceled
87,Online,1,94.5,2,1,2018-07-14,0,3,Not_Canceled
133,Online,0,114.3,1,0,2018-05-17,0,3,Not_Canceled
35,Online,1,98.1,2,0,2018-05-24,0,1,Not_Canceled
7,Online,1,124.0,2,1,2017-09-07,0,0,Canceled
120,Online,0,95.2,2,1,2018-04-23,0,1,Not_Canceled
8,Online,0,75.0,2,0,2018-07-26,0,1,Not_Canceled
24,Offline,2,128.0,2,2,2018-09-10,0,2,Not_Canceled
61,Online,0,99.9,2,1,2018-07-23,0,1,Canceled
2,Online,0,94.0,1,0,2018-08-03,0,2,Not_Canceled
152,Online,0,90.9,1,1,2018-08-26,0,2,Canceled
31,Online,1,125.1,2,0,2018-10-04,0,1,Not_Canceled
100,Online,1,93.3,2,1,2018-03-25,0,2,Canceled
102,Offline,0,109.0,2,0,2017-10-16,0,2,Not_Canceled
89,Online,1,96.3,2,0,2018-04-12,0,3,Not_Canceled
104,Online,0,61.43,2,1,2018-02-28,0,5,Canceled
103,Online,0,94.5,2,2,2017-07-18,0,1,Canceled
3,Offline,1,112.0,2,1,2018-05-21,0,1,Not_Canceled
6,Online,0,127.0,2,1,2017-09-11,0,2,Canceled
148,Online,0,91.68,2,2,2018-07-25,0,5,Canceled
71,Offline,0,120.0,1,0,2018-06-14,0,3,Not_Canceled
57,Online,0,126.36,2,0,2018-06-03,0,1,Canceled
1,Online,0,109.0,2,0,2018-07-29,0,1,Not_Canceled
56,Online,1,116.1,2,1,2018-05-13,0,2,Not_Canceled
17,Online,0,55.0,1,0,2018-01-26,0,4,Not_Canceled
64,Online,1,135.9,2,2,2018-08-14,0,4,Not_Canceled
4,Online,1,106.0,2,0,2017-08-19,0,2,Not_Canceled
18,Online,0,171.0,2,0,2018-02-11,0,3,Not_Canceled
24,Online,1,124.0,1,1,2018-05-02,0,0,Not_Canceled
88,Offline,0,112.2,2,1,2017-10-05,0,1,Not_Canceled
66,Online,1,80.55,2,0,2018-02-09,1,3,Not_Canceled
219,Offline,0,76.67,1,1,2017-09-04,0,2,Not_Canceled
44,Online,2,82.44,0,0,2018-11-19,0,1,Not_Canceled
75,Online,0,105.0,2,2,2018-10-30,0,0,Canceled
98,Online,0,168.3,3,0,2018-05-17,0,2,Canceled
5,Online,0,65.0,1,1,2017-11-08,0,0,Not_Canceled
46,Online,0,67.5,2,0,2018-03-04,0,2,Canceled
74,Offline,0,87.0,1,0,2017-09-18,0,2,Not_Canceled
286,Online,0,90.0,2,1,2018-10-16,0,0,Canceled
1,Offline,0,90.0,2,1,2017-09-14,0,2,Not_Canceled
39,Online,0,201.08,2,1,2018-12-29,0,3,Not_Canceled
69,Online,2,95.85,2,2,2018-10-30,0,2,Not_Canceled
200,Online,1,90.95,2,3,2018-07-15,0,7,Canceled
206,Online,1,130.5,2,0,2018-09-08,1,3,Canceled
51,Offline,1,69.0,2,0,2017-11-11,0,4,Not_Canceled
79,Online,0,87.3,2,0,2018-03-04,0,2,Canceled
14,Online,1,210.0,2,1,2018-09-01,0,3,Not_Canceled
127,Online,1,160.2,3,0,2018-10-18,1,2,Not_Canceled
58,Online,0,73.95,2,2,2018-02-06,0,2,Canceled
95,Online,2,119.85,2,2,2018-06-09,0,4,Not_Canceled
96,Offline,0,60.0,2,2,2018-03-06,0,3,Not_Canceled
22,Online,1,101.0,1,0,2017-10-06,0,1,Not_Canceled
160,Online,0,90.0,2,2,2018-04-27,0,4,Canceled
125,Online,0,99.45,2,0,2018-04-12,0,5,Not_Canceled
90,Online,1,79.8,2,2,2018-03-25,0,2,Not_Canceled
4,Online,0,81.0,2,0,2018-02-13,0,1,Not_Canceled
14,Offline,0,62.5,1,0,2018-05-27,0,1,Not_Canceled
85,Online,1,210.6,3,2,2018-08-19,0,4,Not_Canceled
14,Offline,1,98.67,2,1,2017-10-30,0,2,Not_Canceled
6,Online,0,93.2,2,2,2017-08-14,0,3,Not_Canceled
20,Offline,0,76.5,2,0,2018-06-28,0,3,Not_Canceled
172,Online,0,95.0,1,0,2018-06-24,0,2,Canceled
69,Online,0,82.45,2,0,2018-03-30,0,4,Canceled
3,Online,1,31.0,2,0,2018-02-26,0,1,Not_Canceled
11,Online,0,94.6,2,2,2017-09-13,0,2,Not_Canceled
32,Offline,0,73.0,1,0,2017-11-20,0,2,Not_Canceled
133,Online,0,82.45,2,1,2018-08-19,0,2,Canceled
4,Online,0,65.0,1,1,2017-10-12,0,0,Not_Canceled
179,Online,1,130.05,3,2,2018-08-04,0,3,Canceled
99,Online,1,89.3,2,0,2018-03-23,0,2,Not_Canceled
117,Online,0,94.5,2,2,2017-08-01,0,1,Canceled
136,Online,1,90.9,1,0,2018-08-26,0,2,Not_Canceled
244,Online,0,85.85,2,2,2018-10-30,0,3,Canceled
50,Offline,1,52.0,2,0,2018-01-14,0,3,Not_Canceled
195,Online,0,98.1,1,1,2018-09-03,0,1,Canceled
22,Online,1,90.95,2,0,2017-11-17,0,3,Not_Canceled
23,Offline,0,94.0,2,2,2018-10-07,0,5,Not_Canceled
168,Online,0,85.0,2,1,2018-04-22,0,2,Canceled
89,Offline,0,75.0,2,1,2018-05-09,0,2,Not_Canceled
113,Offline,1,58.0,2,1,2018-03-25,0,2,Not_Canceled
1,Online,1,159.0,2,0,2018-09-15,0,1,Not_Canceled
156,Online,0,84.24,2,0,2018-05-18,0,1,Canceled
138,Online,1,162.0,3,2,2018-09-25,0,1,Canceled
40,Online,1,6.0,0,0,2018-01-14,0,3,Not_Canceled
130,Online,2,155.7,3,2,2018-08-06,0,4,Not_Canceled
5,Online,0,95.0,1,1,2018-04-04,0,3,Not_Canceled
39,Online,0,76.5,1,1,2018-03-11,0,2,Canceled
269,Offline,1,70.0,1,2,2018-12-29,0,3,Not_Canceled
12,Online,4,0.0,1,0,2018-08-17,0,1,Not_Canceled
205,Online,0,90.95,2,2,2018-07-24,0,2,Canceled
94,Online,0,127.93,2,0,2018-05-18,0,4,Canceled
39,Online,0,85.5,1,2,2017-09-04,0,2,Not_Canceled
41,Online,0,85.67,2,2,2018-03-13,0,1,Not_Canceled
301,Online,1,115.0,2,1,2018-07-30,0,1,Canceled
62,Online,0,91.48,2,0,2018-04-21,0,3,Not_Canceled
20,Online,2,104.0,2,1,2018-11-14,0,2,Not_Canceled
168,Online,0,85.0,2,1,2018-04-22,0,2,Canceled
18,Online,1,107.65,2,2,2017-10-16,0,3,Not_Canceled
0,Online,1,98.0,2,1,2018-08-07,0,0,Canceled
64,Online,0,70.46,2,6,2018-03-10,0,13,Canceled
150,Online,1,126.9,2,1,2018-09-16,0,2,Not_Canceled
42,Offline,0,72.0,2,0,2018-11-22,0,3,Not_Canceled
210,Online,0,86.0,2,1,2017-10-08,0,3,Canceled
2,Online,2,116.67,2,0,2018-09-14,0,3,Not_Canceled
56,Online,1,85.5,2,1,2018-04-18,0,1,Not_Canceled
39,Online,2,135.9,2,1,2018-09-12,0,0,Not_Canceled
13,Online,3,128.5,2,0,2018-08-19,0,2,Not_Canceled
13,Online,0,91.0,2,2,2018-02-14,0,4,Not_Canceled
73,Online,2,79.2,2,1,2017-11-27,0,2,Not_Canceled
109,Online,1,76.5,2,0,2017-07-16,0,1,Canceled
5,Online,1,215.6,2,0,2018-10-13,0,2,Not_Canceled
39,Offline,0,109.0,2,0,2017-08-14,0,2,Not_Canceled
128,Online,2,207.9,2,0,2018-05-27,0,2,Canceled
95,Online,1,141.32,3,2,2018-05-22,0,3,Canceled
158,Online,1,90.95,2,1,2018-08-25,0,3,Not_Canceled
54,Online,1,118.2,2,1,2017-12-30,0,4,Not_Canceled
0,Online,1,108.0,1,1,2018-01-04,0,0,Not_Canceled
117,Online,0,83.64,2,0,2018-05-10,0,4,Not_Canceled
51,Offline,0,60.0,2,2,2017-11-08,0,2,Not_Canceled
24,Online,2,155.0,2,1,2018-05-21,0,1,Not_Canceled
162,Offline,0,70.0,2,0,2017-09-17,0,3,Not_Canceled
43,Online,1,109.49,2,0,2018-06-18,0,1,Not_Canceled
118,Offline,0,110.0,1,1,2018-06-06,0,1,Not_Canceled
47,Online,0,71.1,2,0,2018-03-17,0,1,Canceled
44,Offline,0,75.0,2,0,2018-02-17,0,3,Not_Canceled
154,Offline,0,68.0,2,0,2018-11-30,0,1,Not_Canceled
9,Online,2,120.0,1,0,2017-09-30,0,2,Not_Canceled
103,Offline,0,80.0,2,0,2018-05-04,0,3,Not_Canceled
35,Online,0,93.9,1,2,2018-04-17,0,1,Canceled
155,Online,2,137.7,3,2,2018-07-17,0,1,Canceled
28,Online,1,103.87,2,0,2017-09-22,0,4,Not_Canceled
143,Offline,1,100.0,2,0,2018-08-25,0,3,Not_Canceled
44,Offline,1,133.0,3,2,2018-04-23,0,1,Not_Canceled
87,Offline,0,49.07,2,1,2017-11-20,0,2,Not_Canceled
26,Online,0,77.0,1,0,2018-11-16,0,3,Canceled
43,Online,1,98.1,2,0,2018-09-07,0,1,Not_Canceled
102,Online,1,108.0,2,1,2018-10-09,0,0,Canceled
112,Offline,0,100.0,2,0,2018-06-02,0,2,Not_Canceled
5,Online,0,0.0,1,0,2017-10-21,0,1,Not_Canceled
131,Online,0,108.0,1,1,2018-10-10,0,0,Canceled
72,Offline,0,68.0,2,2,2018-03-27,0,2,Not_Canceled
222,Online,0,219.6,2,0,2018-10-29,0,1,Canceled
40,Online,1,75.53,2,1,2017-09-30,1,4,Not_Canceled
65,Online,2,137.7,3,1,2018-07-23,0,1,Not_Canceled
8,Online,3,111.0,2,2,2018-02-21,0,1,Not_Canceled
56,Offline,0,120.0,2,0,2018-06-08,0,1,Not_Canceled
20,Online,2,80.85,2,0,2017-09-02,0,4,Not_Canceled
8,Online,1,107.0,2,0,2017-11-11,0,3,Not_Canceled
162,Online,1,118.8,2,0,2018-07-27,0,1,Canceled
83,Online,2,132.3,2,0,2018-10-19,0,4,Not_Canceled
59,Offline,1,75.0,2,1,2018-11-14,0,2,Not_Canceled
11,Online,0,86.0,1,1,2018-12-19,0,2,Not_Canceled
17,Online,0,89.0,1,2,2018-04-03,0,0,Canceled
31,Online,1,67.6,1,1,2018-03-07,0,3,Not_Canceled
11,Online,2,109.67,2,2,2018-04-16,0,1,Not_Canceled
1,Online,0,80.0,1,0,2017-08-08,0,1,Not_Canceled
86,Online,0,140.4,2,0,2018-05-26,0,2,Canceled
113,Online,2,63.49,2,1,2018-04-04,0,3,Not_Canceled
3,Offline,0,95.0,2,2,2018-04-29,0,2,Not_Canceled
130,Offline,0,71.0,2,1,2018-04-15,0,2,Not_Canceled
286,Online,0,117.0,2,0,2018-09-16,0,2,Canceled
0,Offline,0,72.0,2,0,2018-01-02,0,1,Not_Canceled
78,Online,0,100.0,2,1,2018-03-25,0,2,Canceled
2,Offline,0,82.4,1,0,2018-03-17,0,1,Not_Canceled
22,Online,0,82.33,1,0,2018-02-04,0,3,Canceled
191,Online,0,132.0,2,1,2018-06-03,0,2,Canceled
174,Online,2,98.1,2,0,2018-10-05,0,4,Not_Canceled
232,Offline,0,80.75,2,0,2018-09-15,0,3,Not_Canceled
0,Offline,2,45.0,1,0,2018-04-28,0,1,Not_Canceled
289,Online,0,0.0,1,0,2017-10-17,0,1,Canceled
6,Online,1,154.0,2,0,2018-08-19,1,1,Not_Canceled
60,Offline,0,65.0,2,1,2017-09-21,0,1,Not_Canceled
8,Online,1,115.6,2,1,2018-11-02,0,4,Not_Canceled
265,Offline,0,83.33,1,1,2018-06-24,0,2,Not_Canceled
146,Offline,0,85.0,2,0,2017-12-29,0,3,Not_Canceled
100,Online,1,136.0,2,1,2018-05-19,0,3,Not_Canceled
13,Online,0,65.0,1,1,2017-10-19,0,1,Not_Canceled
346,Online,1,115.0,2,0,2018-09-13,0,2,Canceled
94,Offline,0,102.68,2,2,2018-09-03,0,2,Not_Canceled
2,Offline,0,153.8,2,0,2018-11-25,0,2,Not_Canceled
31,Offline,0,87.04,2,2,2018-04-23,0,1,Not_Canceled
148,Online,0,217.11,2,2,2018-07-11,0,5,Canceled
1,Online,0,65.0,1,0,2017-08-04,0,2,Canceled
271,Online,1,144.63,2,2,2018-12-26,0,5,Canceled
79,Offline,0,75.0,2,0,2017-11-13,0,2,Not_Canceled
101,Online,0,132.6,2,0,2018-05-25,0,4,Not_Canceled
68,Online,1,114.5,2,1,2018-04-25,0,0,Not_Canceled
126,Online,2,125.45,2,2,2018-05-15,0,3,Not_Canceled
16,Online,2,194.58,2,2,2018-05-06,0,2,Not_Canceled
5,Offline,0,69.0,2,0,2017-12-17,0,2,Not_Canceled
156,Online,0,116.1,2,2,2018-09-25,0,1,Canceled
61,Online,0,76.58,2,1,2018-04-11,0,3,Canceled
16,Online,0,86.0,1,0,2018-02-06,0,1,Not_Canceled
151,Offline,0,70.0,1,0,2018-01-19,0,2,Not_Canceled
104,Online,0,150.3,3,0,2018-08-24,0,4,Canceled
106,Online,2,113.4,1,1,2018-10-07,0,2,Not_Canceled
2,Online,1,98.0,2,0,2018-01-22,1,2,Not_Canceled
147,Online,0,137.7,3,1,2018-08-22,0,2,Canceled
78,Online,0,100.0,2,1,2018-03-25,0,2,Canceled
3,Online,3,0.0,2,1,2018-06-20,1,0,Not_Canceled
31,Online,2,94.5,1,2,2017-10-11,0,2,Not_Canceled
59,Online,1,144.9,2,0,2018-08-11,0,1,Not_Canceled
7,Online,1,151.0,2,1,2018-06-09,0,3,Not_Canceled
15,Online,2,148.5,3,1,2018-04-07,0,3,Not_Canceled
104,Online,1,72.25,2,1,2018-04-18,0,3,Canceled
63,Online,0,144.1,2,0,2018-08-09,0,3,Not_Canceled
134,Online,0,89.25,2,0,2018-07-13,0,4,Not_Canceled
377,Online,1,115.0,2,0,2018-10-14,0,2,Canceled
192,Offline,0,95.0,1,0,2018-06-24,0,2,Not_Canceled
50,Offline,1,67.5,1,0,2018-12-13,0,2,Not_Canceled
163,Online,0,115.0,1,2,2018-10-15,0,1,Canceled
30,Offline,0,140.0,2,0,2018-06-02,0,2,Not_Canceled
188,Online,0,130.0,1,0,2018-06-15,0,2,Canceled
279,Online,0,177.3,2,2,2018-09-20,0,5,Canceled
308,Online,0,71.91,2,2,2018-12-29,0,3,Canceled
105,Online,0,75.0,2,0,2018-04-06,0,1,Canceled
9,Online,1,137.63,2,2,2018-10-29,0,2,Not_Canceled
1,Online,0,102.41,2,2,2017-09-20,0,3,Not_Canceled
193,Online,1,93.09,2,0,2018-09-29,0,3,Canceled
2,Online,1,90.47,3,0,2018-04-01,0,2,Not_Canceled
71,Offline,0,98.0,1,0,2018-05-10,0,3,Not_Canceled
27,Offline,0,120.0,2,0,2018-06-09,0,1,Not_Canceled
418,Online,0,107.0,2,1,2018-09-26,0,2,Canceled
0,Online,1,65.0,1,1,2018-03-21,0,0,Not_Canceled
89,Online,2,79.2,1,2,2018-12-17,0,1,Not_Canceled
39,Online,0,113.4,2,1,2018-06-27,0,3,Canceled
10,Online,1,159.75,2,1,2017-09-07,0,3,Not_Canceled
80,Online,0,168.3,2,1,2018-09-15,0,3,Not_Canceled
185,Online,0,103.5,2,1,2018-12-16,0,2,Not_Canceled
88,Online,0,93.6,2,0,2018-12-01,0,2,Canceled
2,Online,1,63.75,2,0,2017-12-17,0,2,Not_Canceled
1,Online,1,89.0,2,1,2018-04-04,0,1,Not_Canceled
32,Online,3,96.3,2,0,2017-11-14,0,1,Not_Canceled
9,Online,1,125.33,2,1,2018-04-08,1,2,Not_Canceled
198,Online,3,159.3,3,0,2018-09-22,0,3,Not_Canceled
39,Online,1,74.8,2,2,2018-11-15,0,5,Canceled
98,Offline,1,95.0,2,0,2018-09-27,0,4,Not_Canceled
92,Online,1,89.25,2,0,2017-10-06,0,5,Not_Canceled
38,Online,1,170.1,2,1,2018-09-09,0,2,Not_Canceled
19,Online,0,100.0,2,0,2018-06-22,0,2,Canceled
2,Online,0,88.0,1,2,2018-01-02,0,3,Not_Canceled
132,Online,1,90.9,1,2,2018-07-03,0,0,Not_Canceled
273,Online,0,63.75,2,0,2018-11-22,0,5,Canceled
45,Online,2,85.5,1,0,2017-10-22,0,3,Not_Canceled
7,Online,2,215.0,3,0,2018-05-13,0,1,Not_Canceled
132,Online,1,105.3,2,1,2018-05-16,0,2,Not_Canceled
221,Offline,0,65.0,2,2,2017-10-17,0,1,Not_Canceled
119,Online,1,81.0,2,0,2018-02-10,0,3,Canceled
31,Offline,0,85.0,2,2,2018-10-15,0,1,Not_Canceled
87,Online,1,119.85,2,2,2018-05-21,0,3,Not_Canceled
73,Online,1,129.96,2,1,2018-05-25,0,4,Not_Canceled
124,Online,0,135.0,2,2,2018-10-09,0,0,Canceled
54,Online,0,139.86,3,2,2018-09-02,0,3,Canceled
169,Online,1,158.95,2,2,2018-07-03,0,3,Canceled
11,Online,3,135.0,2,2,2018-10-02,0,0,Not_Canceled
386,Online,1,115.0,2,2,2018-10-23,0,0,Canceled
38,Online,0,109.8,2,0,2018-09-02,0,1,Not_Canceled
1,Online,0,60.0,1,2,2018-02-28,0,1,Canceled
301,Online,0,52.0,2,0,2018-11-18,0,2,Canceled
103,Online,0,115.0,1,0,2018-04-19,0,2,Canceled
10,Online,0,102.0,2,0,2018-11-01,0,4,Canceled
66,Online,1,152.15,2,1,2018-05-09,0,3,Not_Canceled
9,Online,1,0.0,0,0,2018-12-10,0,1,Not_Canceled
210,Online,1,87.18,2,2,2018-07-16,0,5,Not_Canceled
115,Online,1,90.0,2,0,2018-11-18,0,2,Canceled
27,Offline,0,85.0,2,0,2018-05-04,0,1,Not_Canceled
28,Online,1,125.4,2,1,2017-09-07,0,3,Not_Canceled
13,Online,2,80.0,1,0,2017-08-18,0,2,Not_Canceled
50,Online,2,126.3,2,0,2018-11-10,0,3,Not_Canceled
51,Online,0,123.3,2,2,2018-08-29,0,5,Not_Canceled
85,Offline,1,85.0,2,1,2018-10-06,0,3,Not_Canceled
87,Online,1,141.75,2,1,2018-07-18,0,3,Canceled
261,Offline,2,90.95,2,0,2018-10-13,0,3,Not_Canceled
207,Offline,0,161.67,2,1,2018-12-30,0,2,Not_Canceled
14,Online,1,81.0,2,2,2018-02-07,0,5,Not_Canceled
61,Online,1,88.0,2,1,2018-11-11,0,2,Not_Canceled
36,Offline,0,72.0,2,2,2018-11-26,0,1,Not_Canceled
317,Online,0,120.0,2,0,2018-09-15,0,2,Canceled
5,Online,0,1.6,2,0,2017-12-22,1,5,Not_Canceled
30,Online,1,75.15,2,0,2018-01-15,0,2,Not_Canceled
28,Online,0,90.98,2,1,2018-08-29,0,3,Not_Canceled
146,Offline,1,81.25,2,0,2018-08-05,0,1,Not_Canceled
39,Offline,0,102.0,2,1,2018-12-19,0,2,Not_Canceled
96,Online,0,94.5,2,2,2017-07-11,0,1,Canceled
29,Offline,1,111.5,2,0,2018-05-19,0,2,Not_Canceled
77,Online,0,90.95,2,2,2018-03-20,0,2,Not_Canceled
46,Offline,0,75.0,2,0,2018-11-11,0,2,Not_Canceled
0,Online,1,153.0,2,0,2017-08-07,0,2,Not_Canceled
15,Online,2,115.0,2,0,2017-09-16,0,2,Not_Canceled
270,Online,0,62.8,2,0,2018-04-20,0,4,Canceled
34,Online,0,122.4,2,2,2018-06-19,0,1,Canceled
214,Online,1,81.5,2,0,2018-07-12,0,4,Canceled
0,Online,1,104.0,2,1,2017-11-02,0,1,Not_Canceled
41,Online,2,139.5,2,0,2018-10-04,0,5,Not_Canceled
151,Offline,0,71.0,1,0,2018-01-19,0,2,Not_Canceled
15,Online,1,107.99,1,2,2018-11-05,0,4,Not_Canceled
122,Online,0,109.65,2,2,2018-06-11,0,2,Not_Canceled
15,Online,1,68.99,2,2,2018-01-24,0,1,Not_Canceled
36,Online,0,133.1,2,0,2018-06-29,0,2,Not_Canceled
29,Online,1,89.9,2,1,2018-11-17,0,3,Not_Canceled
39,Offline,0,101.5,2,0,2017-08-14,0,2,Not_Canceled
89,Online,1,105.3,2,1,2018-03-25,0,2,Canceled
89,Online,2,96.0,1,1,2018-12-10,0,1,Not_Canceled
132,Online,1,124.8,2,1,2018-07-29,0,2,Not_Canceled
68,Offline,0,48.0,2,0,2017-09-29,0,2,Not_Canceled
44,Offline,0,96.3,2,1,2018-06-18,0,1,Not_Canceled
2,Online,1,92.0,2,0,2018-01-28,0,1,Not_Canceled
1,Online,0,84.0,2,0,2018-05-10,0,1,Canceled
26,Online,1,139.0,2,0,2018-10-21,0,2,Not_Canceled
120,Online,1,127.8,2,0,2018-08-09,0,5,Not_Canceled
19,Online,1,139.0,2,1,2018-09-23,0,2,Not_Canceled
207,Online,2,76.5,2,2,2017-08-21,1,3,Not_Canceled
273,Online,0,109.0,2,0,2017-07-17,0,2,Canceled
39,Offline,0,101.5,2,0,2017-08-14,0,2,Not_Canceled
286,Online,0,90.0,2,1,2018-10-16,0,0,Canceled
45,Online,0,78.3,2,0,2018-03-03,0,3,Canceled
11,Online,0,0.0,2,0,2018-10-04,0,2,Not_Canceled
273,Offline,0,87.0,1,0,2017-07-17,0,2,Not_Canceled
101,Online,0,105.3,2,0,2018-07-13,0,3,Canceled
178,Online,2,99.45,2,0,2018-08-10,0,4,Not_Canceled
317,Online,0,120.0,2,0,2018-09-15,0,2,Canceled
267,Online,0,95.0,2,1,2018-09-30,0,2,Canceled
274,Online,2,0.0,2,0,2018-11-04,0,0,Not_Canceled
74,Online,0,126.9,1,0,2018-05-17,0,3,Not_Canceled
268,Online,0,78.0,2,2,2018-04-08,0,3,Canceled
16,Offline,1,117.6,3,2,2017-09-05,0,4,Not_Canceled
250,Online,0,95.0,2,1,2018-09-26,0,3,Canceled
30,Online,0,149.4,2,0,2018-07-14,0,3,Canceled
181,Online,0,120.0,1,0,2018-10-11,0,2,Canceled
193,Online,1,70.44,2,2,2018-07-09,0,1,Not_Canceled
128,Online,1,140.7,3,0,2018-08-04,0,3,Not_Canceled
11,Online,0,65.0,1,0,2017-12-15,0,1,Not_Canceled
3,Online,0,65.0,1,1,2018-04-25,0,0,Not_Canceled
5,Offline,1,12.0,2,0,2017-09-02,0,1,Not_Canceled
195,Online,1,112.56,2,2,2018-09-27,0,5,Canceled
155,Online,0,177.35,2,3,2018-05-22,0,5,Canceled
0,Online,0,15.0,2,1,2018-07-10,0,0,Not_Canceled
141,Online,2,133.65,2,2,2018-09-04,0,2,Not_Canceled
12,Offline,0,72.0,1,0,2018-01-19,0,3,Not_Canceled
29,Online,1,63.87,2,2,2018-03-11,0,3,Not_Canceled
44,Offline,0,75.0,2,0,2018-02-17,0,3,Not_Canceled
4,Offline,0,94.5,2,2,2017-08-08,0,1,Not_Canceled
191,Online,0,132.0,2,1,2018-06-03,0,2,Canceled
84,Online,0,137.7,3,0,2018-07-13,0,1,Not_Canceled
20,Offline,0,85.0,2,0,2018-10-27,0,1,Not_Canceled
21,Offline,0,85.0,2,0,2018-10-25,0,3,Not_Canceled
46,Online,0,142.2,3,1,2018-09-02,0,2,Not_Canceled
69,Online,0,120.0,1,2,2018-06-12,0,4,Canceled
128,Online,1,94.5,2,0,2018-08-03,0,3,Not_Canceled
102,Offline,0,109.0,2,0,2017-10-16,0,2,Not_Canceled
164,Offline,0,100.0,1,0,2017-10-02,0,2,Not_Canceled
13,Online,2,107.0,2,2,2017-12-06,0,0,Not_Canceled
230,Online,0,103.5,1,0,2018-10-07,0,2,Canceled
197,Online,0,86.5,0,1,2018-07-17,0,0,Canceled
190,Online,0,109.3,2,2,2018-05-06,1,2,Canceled
183,Online,1,110.0,2,0,2018-09-08,0,3,Canceled
72,Offline,0,108.0,2,0,2017-09-18,0,1,Not_Canceled
5,Online,0,145.0,1,1,2017-09-21,0,0,Not_Canceled
60,Online,1,123.3,3,0,2018-03-29,0,1,Canceled
27,Offline,0,62.8,2,1,2018-03-21,0,3,Not_Canceled
118,Offline,0,119.0,1,1,2018-06-06,0,2,Not_Canceled
6,Online,1,83.2,1,2,2017-08-14,0,3,Not_Canceled
23,Online,1,151.0,2,0,2018-08-03,0,2,Not_Canceled
5,Online,0,167.0,2,1,2018-08-21,0,0,Canceled
0,Online,1,135.0,1,0,2018-07-05,0,1,Not_Canceled
20,Online,1,109.0,2,1,2018-03-19,0,1,Not_Canceled
17,Online,0,97.0,2,1,2018-03-11,0,2,Canceled
45,Online,1,60.98,2,2,2018-12-04,0,1,Not_Canceled
79,Online,0,120.6,2,2,2018-06-16,0,4,Not_Canceled
77,Online,0,98.41,2,0,2018-06-28,0,1,Canceled
273,Online,0,95.0,2,1,2018-05-13,0,2,Canceled
188,Online,0,130.0,1,0,2018-06-15,0,2,Canceled
14,Offline,0,100.0,1,0,2017-10-15,0,2,Not_Canceled
6,Online,1,93.0,2,0,2018-03-02,0,1,Canceled
164,Offline,0,100.0,1,0,2017-10-02,0,2,Not_Canceled
137,Offline,0,80.75,2,1,2018-06-10,0,2,Not_Canceled
23,Online,2,88.0,2,0,2018-11-17,0,2,Not_Canceled
1,Online,0,95.0,1,0,2018-06-07,0,1,Not_Canceled
49,Online,1,71.1,2,0,2018-03-17,0,1,Canceled
134,Online,2,103.5,2,0,2018-08-11,0,3,Not_Canceled
6,Online,0,79.0,2,0,2018-02-26,0,2,Canceled
42,Online,1,112.5,1,1,2018-04-01,0,2,Not_Canceled
26,Offline,2,90.0,2,1,2017-10-19,0,3,Not_Canceled
43,Offline,0,75.0,2,0,2018-11-01,0,3,Not_Canceled
10,Online,1,164.0,2,1,2018-09-05,0,2,Not_Canceled
16,Online,0,117.0,2,0,2018-04-22,0,1,Canceled
187,Online,1,86.5,0,0,2018-07-07,0,2,Canceled
60,Online,0,75.0,2,2,2018-03-20,0,2,Canceled
51,Offline,0,75.0,2,0,2018-11-04,0,2,Not_Canceled
16,Online,0,65.52,2,0,2018-02-16,0,3,Not_Canceled
115,Online,2,129.6,2,2,2018-09-06,0,8,Not_Canceled
46,Online,2,119.5,2,0,2018-10-25,0,2,Not_Canceled
301,Online,1,115.0,2,1,2018-07-30,0,1,Canceled
349,Online,0,123.33,2,1,2018-10-04,0,5,Canceled
59,Online,1,153.09,2,1,2018-06-04,0,1,Canceled
193,Online,1,97.71,2,2,2018-09-10,0,1,Not_Canceled
193,Online,0,65.0,2,0,2017-10-15,0,3,Canceled
149,Online,0,124.2,2,0,2018-06-03,1,1,Not_Canceled
183,Online,1,98.25,2,1,2018-07-04,0,3,Canceled
228,Online,2,115.6,2,2,2018-10-05,0,4,Canceled
29,Offline,0,87.0,2,1,2018-03-04,0,2,Not_Canceled
111,Online,0,137.7,3,2,2018-07-24,0,1,Canceled
83,Offline,0,75.0,2,2,2018-05-01,0,1,Not_Canceled
273,Online,0,106.2,2,1,2018-09-30,0,2,Canceled
9,Online,1,127.0,3,2,2018-02-13,0,1,Not_Canceled
20,Online,1,149.0,2,1,2018-10-03,0,2,Not_Canceled
254,Online,1,100.7,2,0,2018-07-09,0,1,Canceled
34,Online,0,126.9,2,2,2018-05-01,0,1,Canceled
29,Online,1,86.45,2,0,2018-02-12,0,2,Not_Canceled
200,Offline,0,90.0,1,2,2018-10-23,0,0,Not_Canceled
35,Online,2,74.8,2,2,2018-12-04,0,5,Not_Canceled
17,Online,1,61.88,2,2,2018-02-13,0,2,Not_Canceled
